D:\simulator-windows-64\IMG\center_2020_11_10_17_35_06_894.jpg, D:\simulator-windows-64\IMG\left_2020_11_10_17_35_06_894.jpg, D:\simulator-windows-64\IMG\right_2020_11_10_17_35_06_894.jpg, 0, 0, 0, 7.801157E-05
D:\simulator-windows-64\IMG\center_2020_11_10_17_35_07_000.jpg, D:\simulator-windows-64\IMG\left_2020_11_10_17_35_07_000.jpg, D:\simulator-windows-64\IMG\right_2020_11_10_17_35_07_000.jpg, 0, 0, 0, 7.863987E-05
D:\simulator-windows-64\IMG\center_2020_11_10_17_35_07_103.jpg, D:\simulator-windows-64\IMG\left_2020_11_10_17_35_07_103.jpg, D:\simulator-windows-64\IMG\right_2020_11_10_17_35_07_103.jpg, 0, 0, 0, 7.882161E-05
D:\simulator-windows-64\IMG\center_2020_11_10_17_35_07_203.jpg, D:\simulator-windows-64\IMG\left_2020_11_10_17_35_07_203.jpg, D:\simulator-windows-64\IMG\right_2020_11_10_17_35_07_203.jpg, 0, 0, 0, 8.157598E-05
D:\simulator-windows-64\IMG\center_2020_11_10_17_35_07_304.jpg, D:\simulator-windows-64\IMG\left_2020_11_10_17_35_07_304.jpg, D:\simulator-windows-64\IMG\right_2020_11_10_17_35_07_304.jpg, 0, 0.303282, 0, 0.2541763
D:\simulator-windows-64\IMG\center_2020_11_10_17_35_07_418.jpg, D:\simulator-windows-64\IMG\left_2020_11_10_17_35_07_418.jpg, D:\simulator-windows-64\IMG\right_2020_11_10_17_35_07_418.jpg, 0, 0, 0, 0.2288743
D:\simulator-windows-64\IMG\center_2020_11_10_17_35_07_517.jpg, D:\simulator-windows-64\IMG\left_2020_11_10_17_35_07_517.jpg, D:\simulator-windows-64\IMG\right_2020_11_10_17_35_07_517.jpg, 0, 0, 0, 0.2262044
D:\simulator-windows-64\IMG\center_2020_11_10_17_35_07_622.jpg, D:\simulator-windows-64\IMG\left_2020_11_10_17_35_07_622.jpg, D:\simulator-windows-64\IMG\right_2020_11_10_17_35_07_622.jpg, 0, 0, 0, 0.2230398
D:\simulator-windows-64\IMG\center_2020_11_10_17_35_07_725.jpg, D:\simulator-windows-64\IMG\left_2020_11_10_17_35_07_725.jpg, D:\simulator-windows-64\IMG\right_2020_11_10_17_35_07_725.jpg, -0.1382565, 0.1217835, 0, 0.2862084
D:\simulator-windows-64\IMG\center_2020_11_10_17_35_07_827.jpg, D:\simulator-windows-64\IMG\left_2020_11_10_17_35_07_827.jpg, D:\simulator-windows-64\IMG\right_2020_11_10_17_35_07_827.jpg, -0.4425403, 0.1476162, 0, 0.5087677
